ranking_2025,nit,razon_social,supervisor,región,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales_2025,ganancia_pérdida_2025,total_activos_2025,total_pasivos_2025,total_patrimonio_2025,ingresos_operacionales_2024,ganancia_pérdida_2024,total_activos_2024,total_pasivos_2024,total_patrimonio_2024,ranking_20251
5846,900884373,VEROSA GROUP SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,COTA-CUNDINAMARCA,G4631 - Comercio al por mayor de productos alimenticios,COMERCIO,43632962,2241131,15445494,8985290,6460204,36933818.0,1299127.0,13454002.0,9234927.0,4219075.0,5846
5847,800195190,CONFITECA COLOLOMBIA S A EN REORGANIZACION,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"C1082 - Elaboración de cacao, chocolate y productos de confitería",MANUFACTURA,43631045,-846005,54960660,53339543,1621117,43140632.0,838150.0,57309011.0,54841890.0,2467121.0,5847
5848,901529331,TEXTI FILH SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4641 - Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico",COMERCIO,43585756,1310132,39432456,33240504,6191952,41155992.0,1386818.0,34650985.0,29769165.0,4881820.0,5848
5849,816005473,LA OFRENDA SA,SUPERSOCIEDADES,EJE CAFETERO,RISARALDA,PEREIRA-RISARALDA,S9603 - Pompas fúnebres y actividades relacionadas,SERVICIOS,43575879,3242648,42307292,15104122,27203170,41600413.0,3176697.0,39477922.0,14617400.0,24860522.0,5849
5850,901420538,PROMOTORA ANTILIA 98 SAS,SUPERSOCIEDADES,CARIBE,BOLÍVAR,CARTAGENA-BOLIVAR,F4111 - Construcción de edificios residenciales,CONSTRUCCIÓN,43566529,367576,34980111,33832526,1147585,84409.0,22384.0,69248257.0,68468248.0,780009.0,5850
5851,900724450,TRANDECOL S.A.S,SUPERTRANSPORTE,EJE CAFETERO,RISARALDA,PEREIRA,H4921 - Transporte de pasajeros,SERVICIOS,43562408,3921771,18238175,5384566,12853609,28591075.571,2627403.534,13299049.755,4802964.459,8496085.296,5851
5852,890103161,TRANSPORTES SANCHEZ POLO S.A EN REORGANIZACION,SUPERSOCIEDADES,CARIBE,ATLÁNTICO,BARRANQUILLA,H4923 - Transporte de carga por carretera,SERVICIOS,43555129,658837,163912251,165795496,-1883245,43124938.0,119446.0,172290794.0,174832876.0,-2542082.0,5852
5853,900080654,PRODUCTOS ALIMENTICIOS LAS CASERITAS S A,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,SABANETA-ANTIOQUIA,C1081 - Elaboración de productos de panadería,MANUFACTURA,43554450,459860,26610335,14293517,12316818,45138955.0,449693.0,25751760.0,14141806.0,11609954.0,5853
5854,800239454,ASSIST CARD DE COLOMBIA S.A.S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,N7990 - Otros servicios de reserva y actividades relacionadas,SERVICIOS,43537306,1745485,37865345,10794484,27070861,41944797.0,1251297.0,35016189.0,9692412.0,25323777.0,5854
5855,891411023,COLOMBIANA DE CONSTRUCCIONES S.A.S,SUPERSOCIEDADES,EJE CAFETERO,RISARALDA,PEREIRA-RISARALDA,F4111 - Construcción de edificios residenciales,CONSTRUCCIÓN,43522118,2715908,23987677,11945401,12042276,1205279.0,-35049.0,46897778.0,37570546.0,9327232.0,5855
5856,800021013,CENTRO ACEROS S.A.S,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,GUARNE-ANTIOQUIA,C2821 - Fabricación de maquinaria agropecuaria y forestal,MANUFACTURA,43521012,-407202,46045694,28998548,17047146,45826679.0,-2040840.0,50648389.0,33186013.0,17462376.0,5856
5857,890802833,INDUSTRIAS DUMAR LTDA INDUSTRIAS DUMAR LTDA,SUPERSOCIEDADES,EJE CAFETERO,CALDAS,MANIZALES-CALDAS,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,MANUFACTURA,43505716,3355304,27495623,2567798,24927825,35806659.0,3127182.0,24689314.0,3116792.0,21572522.0,5857
5858,901035634,INVERSIONES ZARA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",COMERCIO,43489677,1190300,9606748,3337475,6269273,34955397.0,1111233.0,8313772.0,2213454.0,6100318.0,5858
5859,801001540,ALMACEN SANITARIO EJE CAFETERO SAS,SUPERSOCIEDADES,EJE CAFETERO,QUINDÍO,ARMENIA-QUINDIO,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",COMERCIO,43487093,1196177,11010865,3798013,7212852,35628260.0,1092997.0,10011851.0,2555176.0,7456675.0,5859
5860,900471195,IDEAS MUSICALES DE COLOMBIA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,J6209 - Otras actividades de tecnologías de información y actividades de servicios informáticos,SERVICIOS,43486984,-1612967,29934500,31105516,-1171016,52644947.0,-1019720.0,55444901.0,49787574.0,5657327.0,5860
5861,900548646,CONEXION DIGITAL EXPRESS S.A.S.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,J6110 - Actividades de telecomunicaciones alámbricas,SERVICIOS,43474639,861589,24884951,13283257,11601694,25530364.0,48870.0,22585687.0,11931456.0,10654231.0,5861
5862,800042972,INGENIERIA SUMINISTROS Y REPRESENTACIONES DE COLOMBIA S A S,SUPERSOCIEDADES,CENTRO - ORIENTE,SANTANDER,BUCARAMANGA-SANTANDER,G4610 - Comercio al por mayor a cambio de una retribución o por contrata,COMERCIO,43472830,-777677,53359092,10162854,43196238,65275407.0,10766659.0,56830182.0,12941821.0,43888361.0,5862
5863,860534458,DIMARK DE COLOMBIA SA,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,FUNZA-CUNDINAMARCA,G4649 - Comercio al por mayor de otros utensilios domésticos n.c.p.,COMERCIO,43455580,2770957,29930972,8614859,21316113,36417542.0,1813184.0,29708701.0,9463545.0,20245156.0,5863
5864,900464794,INVERSIONES KAUTIVA S.A.S,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,MEDELLIN,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,43455148,866501,10578312,6242959,4335353,36470536.0,863657.0,9077674.0,5608822.0,3468852.0,5864
